Sentence,Word Count,Reason
"Yeah, right.",2,Too short
Of course.,2,Too short
Yes.,1,Too short
Good.,1,Too short
"Yes, they do.",3,Too short
They do it.,3,Too short
Wow.,1,Too short
I also lacquer.,3,Too short
So cutting wrong.,3,Too short
Yes.,1,Too short
So that's.,2,Too short
Yes.,1,Too short
That's the problem.,3,Too short
They are everywhere.,3,Too short
Yes.,1,Too short
And my.,2,Too short
Yes.,1,Too short
Yes.,1,Too short
Again today.,2,Too short
Understood.,1,Too short
"It's crazy, man.",3,Too short
There's no convincing.,3,Too short
Not that easy.,3,Too short
I'm not there.,3,Too short
Okay.,1,Too short
She's very like.,3,Too short
Yeah.,1,Too short
I have.,2,Too short
It's best.,2,Too short
I don't know.,3,Too short
"For example, metal.",3,Too short
Metal.,1,Too short
Bye.,1,Too short
